Group,Age,Gender,Frequency_of_Trips,Income
A,53,0,6,3211.5294244195757
A,49,0,4,3425.3993060135585
A,52,0,4,2571.7687158967374
A,44,0,6,3241.601496086168
A,65,1,3,2635.772838692612
A,51,0,2,2544.8880874499973
A,22,0,4,3876.288797677437
A,42,1,8,2093.3771975211575
A,45,1,7,2741.680086942482
A,35,1,7,3111.1530485660323
A,20,1,3,2700.2667187193942
A,45,0,0,3075.167857291357
A,19,1,5,2328.5634634979824
A,51,0,6,2077.3828224202234
A,39,0,5,2562.815600810236
A,39,0,7,3076.0633224422972
A,47,1,6,2914.2249577995294
A,51,1,6,3318.0784362588042
A,65,0,9,2287.6592119539214
A,18,0,7,2712.1896904107375
A,46,1,7,2964.0278576447026
A,36,1,2,2515.507875103752
A,36,0,6,3068.9879466468574
A,58,0,7,2859.3842681110245
A,69,1,4,3243.4187411293
A,58,1,10,3144.385409595232
A,46,0,7,2073.2802328979815
A,60,1,4,3736.2797190250467
A,50,1,9,1913.8487286590603
A,68,1,9,2224.0526177884303
A,34,0,3,2962.527013331756
A,55,1,4,3147.981755559573
A,18,1,7,2858.8603510248504
A,67,1,5,2729.002375982901
A,58,1,7,2958.8903553616024
A,50,1,7,3263.5978950432354
A,53,1,2,2426.7386635627327
A,39,1,3,2442.8536455918393
A,35,1,2,2567.2251943240644
A,34,0,4,3660.0416855814383
A,49,0,1,3186.466151235958
A,37,1,3,3286.1902539474304
A,68,0,4,3795.5156697587904
A,40,1,3,3393.7033223911853
A,45,1,8,3078.218104634502
A,63,0,2,3779.1558957936113
A,43,0,6,2514.1652983486747
A,24,1,7,2867.3425315252525
A,58,1,5,3578.129002117641
A,37,1,3,1903.019418502263
A,58,0,9,2601.616347552211
A,64,0,8,3394.7923536695453
A,28,1,6,3053.2968478266635
A,24,1,3,3256.909343226619
A,55,1,0,2041.7904848164471
A,44,0,10,2579.512663231706
A,26,1,4,3324.59410705199
A,21,1,2,2549.017435413931
A,66,1,4,3412.4243858951977
A,55,0,8,3143.728910539699
A,46,1,1,2413.985379560604
A,66,1,3,3172.7509183412644
A,43,0,5,3374.4753987046506
A,42,0,3,3180.749349947973
A,31,0,3,3268.5194744339033
A,54,0,4,2135.635646344396
A,67,1,2,4127.523286231243
A,45,0,3,4410.407692361517
A,25,0,7,3714.3574856845426
A,59,1,5,3057.775124244346
A,28,0,5,2797.536044681466
A,52,0,5,2808.0928650902824
A,48,1,8,3391.956983174454
A,51,1,8,3534.5051105980847
A,63,1,4,2675.1904676919016
A,53,1,11,2989.242432627153
A,34,0,3,3628.469256337408
A,66,1,7,2948.7272993892707
A,38,1,7,3055.965007389094
A,43,1,5,3688.297046304811
A,58,0,3,3607.7681313325184
A,45,1,9,3402.448313358261
A,39,0,6,2465.4548269438883
A,58,0,5,2471.623634747778
A,20,1,5,2632.134488071312
A,45,0,8,2739.0419933130347
A,53,1,3,3107.9854287906155
A,19,0,6,2953.4376963342947
A,63,1,5,2919.2127144190868
A,37,1,5,2871.0388925080756
A,57,1,6,2561.3025361079917
A,67,0,7,2769.38481061335
A,53,1,5,4216.784643992365
A,25,0,4,3349.6080904556943
A,56,0,4,3010.0219080745355
A,42,1,5,2249.7822595934026
A,32,0,0,2504.778256431064
A,47,0,7,2978.860667653461
A,64,1,5,3679.79364664506
A,51,0,3,3114.5258949542763
A,21,0,0,3107.7759824049754
A,39,1,12,3555.002147602804
A,42,1,6,2514.361112075789
A,26,1,1,3703.0877989052983
A,40,1,5,2808.292237306938
A,56,0,3,3579.0553418184245
A,67,0,4,3835.062504326038
A,29,1,5,2546.3697746956727
A,31,0,4,3000.0182374612054
A,24,1,4,3394.5565964652806
A,48,1,7,2856.6590263496255
A,23,0,6,2870.5936983937822
A,40,1,7,2800.8014738635093
A,36,0,5,2069.7034858239067
A,38,0,4,3528.742388799579
A,36,0,5,2495.160500104131
A,64,1,3,1855.368299499454
A,36,0,7,3523.444711978776
A,61,0,6,3242.406664819351
A,51,0,3,2340.960758458797
A,60,1,5,3543.1046836583196
A,30,0,7,3332.7388467863675
A,53,1,5,3000.1605624311464
A,42,0,7,2824.815914706383
A,50,0,5,2938.820668556425
A,38,0,4,3103.249757716714
A,51,1,2,2605.6758310757787
A,63,1,4,3559.024579325929
A,42,1,6,3277.8187133396796
A,35,0,5,2932.4884017068457
A,60,0,6,3871.547618922467
A,28,0,5,2849.2168231775145
A,36,1,4,3774.6419578791492
A,66,1,2,3146.337941936686
A,66,1,4,3378.79860886822
A,51,0,5,2816.442975148437
A,19,1,7,2065.1623556944037
A,47,0,5,3239.649509859734
A,62,0,4,2406.037850769915
A,55,0,6,2693.6513532341805
A,32,0,6,3037.908659761443
A,28,0,3,2679.119461838827
A,41,1,4,2984.143757112103
A,21,1,6,3099.7814989075773
A,36,0,3,2262.896496912162
A,46,1,6,3137.0920127598606
A,31,0,4,2689.399456280494
A,67,0,5,2465.973862581779
A,34,1,6,1999.310273689487
A,25,0,1,2222.8112995201004
A,30,1,5,3011.9793095117434
A,40,0,6,3021.229938411123
A,46,1,7,3259.1978188012017
A,64,0,3,3857.8722001190185
A,28,0,5,3678.05636484074
A,33,1,2,3497.884701610811
A,67,0,2,3593.215680308975
A,61,0,7,3090.412844356581
A,40,1,0,3081.3668013816264
A,29,1,3,3768.6308489466187
A,55,1,9,3108.20769795927
A,41,0,7,3118.8798164695577
A,48,0,4,3582.850378420422
A,55,1,6,2861.738713419604
A,53,0,5,2932.7369098125987
A,18,1,5,2319.334341385674
A,43,1,6,2768.718233715159
A,34,0,5,2835.146841035523
A,53,0,9,2863.360984076252
A,34,0,6,3405.2375014982395
A,54,1,9,2495.633482261904
A,44,0,3,3744.562739169691
A,42,0,8,1969.9161005491856
A,47,1,4,3299.0965586590974
A,58,0,5,3408.32265927831
A,42,1,5,3345.980496662844
A,55,0,10,3547.780831533687
A,49,1,2,2894.1838182986016
A,29,0,12,3626.507777076663
A,66,0,4,2654.6022919689267
A,38,1,5,2696.544751384375
A,59,0,8,4034.5004334482214
A,51,0,3,3088.4084055840362
A,18,0,7,3475.8755389810485
A,30,1,6,3248.0656332648277
A,38,0,5,3361.6599489513146
A,18,1,3,1997.3715999294927
A,30,0,9,3188.1546792400886
A,48,1,2,3007.8865751902176
A,40,1,5,3486.6521481217483
A,20,0,8,2602.1467944715246
A,28,1,11,3596.6320468495296
A,46,1,4,2396.7981149541706
A,65,1,5,2774.1467221231096
A,35,0,5,2210.8536668062416
A,42,1,4,2459.721188808718
A,51,1,2,3003.4737263763204
A,35,0,5,3684.203232083907
A,66,1,8,3017.485689486646
A,18,0,5,2358.0281429734396
A,45,1,9,1944.556352726283
A,21,0,2,3336.8006832667165
A,69,0,11,2671.306691707947
A,38,1,4,2738.146850678517
A,23,1,9,3538.326356074784
A,38,1,1,2932.557934007599
A,54,0,4,2850.6812887633205
A,47,0,4,3080.778904582714
A,37,0,4,3740.9749462827185
A,58,0,7,3127.0068679124397
A,49,1,3,1920.3499543767239
A,48,0,6,2591.0223361307244
A,53,0,2,2857.7455847106094
A,42,1,10,3431.719577011258
A,22,0,5,2378.6980072158135
A,25,1,2,3074.4164596228616
A,34,1,8,2959.08223566549
A,32,1,7,3508.2654712799263
A,37,1,5,2501.536749370489
A,62,0,6,3083.6404470556254
A,64,1,5,3766.555482227816
A,46,1,2,3449.4715693103262
A,53,0,6,3299.6403337582883
A,67,0,7,2844.7275631945445
A,68,0,3,3075.69347620922
A,45,0,8,2943.599579617475
A,25,1,3,3428.2843314822135
A,31,0,7,3263.227789437346
A,50,0,2,2686.2375020943573
A,51,1,4,3872.7175042219824
A,69,1,2,3602.1768996224
A,46,1,5,2566.705542627921
A,39,0,7,2828.052702168804
A,20,0,4,2920.790306933992
A,65,1,7,3408.1392896947027
A,40,0,6,2595.4440102890835
A,20,0,9,2665.4058624085674
A,23,0,9,3439.1822068043825
A,57,1,5,3279.3363878589325
A,40,0,5,2025.7644879441068
A,29,0,3,3328.798123387968
A,22,1,1,2262.864184294771
A,22,0,5,2682.6878365608727
A,20,1,10,2817.5792174243916
A,21,1,6,2765.3585544675466
A,41,0,7,2675.3230575973957
A,22,0,3,2481.1127419430322
A,48,0,6,3256.2078873591263
A,52,0,6,2193.4575006451378
A,59,0,4,2734.156800318361
A,36,0,5,3395.543770141138
A,25,1,6,3198.7319256415435
A,45,0,4,2307.7115439228282
A,55,0,6,2035.2187596441413
A,40,1,2,2455.3888265003034
A,24,0,5,1910.959545898578
A,55,1,4,3045.838838622699
A,30,0,6,2770.2490874872365
A,62,1,3,2808.7397534477764
A,38,0,8,3255.1967611557097
A,54,0,3,3436.811222531591
A,23,0,5,3119.137342721214
A,27,1,5,2888.5540092277483
A,44,1,3,2648.7990177838474
A,69,1,5,2824.570115796917
A,43,1,9,3103.64896185682
A,59,1,5,3462.7264526377407
A,45,0,4,2305.2411569916644
A,33,1,12,2436.041124767697
A,67,0,2,2996.925412194606
A,45,1,3,1944.4525204531612
A,20,0,4,3142.663630732505
A,18,1,5,3528.2169552996793
A,20,0,6,4179.203836254691
A,47,0,4,3041.0349586523535
A,36,1,5,3429.655141185706
A,50,0,0,3010.9441588418676
A,25,1,3,3809.791832497762
A,36,0,4,2788.3861792277357
A,53,0,5,3164.67128357912
A,65,1,3,3301.8368249323767
A,54,0,6,3194.2807642069456
A,22,0,5,2614.1759224459806
A,51,1,4,2313.109564134973
A,55,1,6,3510.6048570833127
A,44,1,0,3125.6007503213827
A,56,1,5,3037.647200340462
A,64,0,3,3445.956099469933
A,59,1,5,3422.5768252026073
A,59,1,8,3179.117265458099
A,68,1,3,3317.792552437889
A,41,0,2,2737.4293739775944
A,65,1,3,3266.9095490298314
A,48,0,6,2215.3060269506796
A,39,1,7,3009.880236889302
A,40,0,8,3373.611183545757
A,58,0,3,2640.5854191277276
A,41,0,4,3071.211972955177
A,57,1,6,3150.638893375381
A,49,1,5,2554.6429894803055
A,68,1,6,3564.542121865492
A,50,0,6,3160.1734095652246
A,45,1,2,2162.032029459094
A,34,0,3,3045.351614578219
A,43,1,8,3726.884437821568
A,35,1,2,2998.0143734232997
A,32,1,3,2674.6713906720606
A,55,1,8,2727.6817688194296
A,39,1,5,2919.9406742835754
A,66,0,4,2393.808891401681
A,35,0,4,3701.2180249169714
A,38,1,3,3462.032458722225
A,36,0,5,3538.6414745250518
A,19,1,3,2248.226977150086
A,47,1,1,3064.272258115267
A,42,1,5,3539.060618173545
A,43,1,4,2526.5593095919166
A,56,0,5,2963.8795928366753
A,34,0,5,2450.278488720729
A,64,0,1,3416.9624509457826
A,33,0,2,2892.681621988104
A,44,0,5,2953.7626386442234
A,66,1,3,2435.6895879357057
A,20,1,6,3773.9968043470944
A,59,0,5,3025.4623336878803
A,55,0,6,3395.7531063501956
A,46,1,7,3192.02443652136
A,19,1,9,2545.4690589860093
A,60,1,4,2179.4056654627784
A,57,0,6,2904.303282172854
A,31,1,9,3553.240952852837
A,29,0,7,2015.2252935610213
A,69,1,1,3974.109232469557
A,41,1,2,3416.8536460874566
A,45,0,5,3095.3502076794894
A,56,1,4,2942.0803419302542
A,35,1,7,3429.3682287062984
A,42,1,5,2389.649142026189
A,54,0,5,3221.204096901452
A,23,0,7,3154.09075631918
A,62,1,3,3897.7097412686917
A,47,0,6,2817.3750801866404
A,48,1,6,3022.3221742303554
A,51,0,11,2966.7108588774313
A,36,0,5,2741.5523657729746
A,45,0,9,3739.1212962744457
A,25,1,9,2512.6758896530955
A,28,0,10,2241.181021921573
A,33,0,7,3121.9605304113634
A,43,0,7,2637.643723004053
A,18,1,4,3127.0718826170573
A,48,1,4,3316.695721722823
A,44,1,3,3073.0616009489477
A,65,1,4,3011.9888251772754
A,61,0,5,1969.0971454213
A,66,1,7,3279.764936386286
A,26,1,5,3098.1133438172947
A,43,1,3,3937.109453021886
A,23,1,4,3568.6114841186873
A,24,1,7,2259.0078123990243
A,30,1,7,3530.351001985293
A,66,0,6,2350.191812000221
A,27,1,2,3416.8498495408026
A,60,0,7,3726.798660893236
A,63,0,6,3933.50578514815
A,66,1,4,2801.966538876837
A,48,0,4,3353.0061727727757
A,65,0,5,3504.74385374247
A,54,0,6,3235.309857049056
A,35,0,4,2164.2794696301257
A,28,1,7,3077.2267696994845
A,27,0,7,3284.5188160016414
A,45,1,3,2999.202263674101
A,38,1,6,2570.6628795047295
A,42,0,4,2899.556030844809
A,23,0,7,3450.596452933103
A,59,0,3,3196.763577316272
A,28,0,2,3232.7307130977706
A,50,1,4,2875.693939089352
A,22,0,8,3213.2390509505103
A,51,0,6,1946.7983320397896
A,49,1,4,2977.983192498911
A,60,1,6,2809.528525011925
A,63,1,3,3013.5734155520604
A,41,1,4,2413.597901410587
A,30,0,5,3185.125119499283
A,60,0,4,3961.1942737487857
A,23,1,4,3040.3815985096116
A,51,0,12,3023.261115916277
A,68,1,5,4253.869451039
A,42,0,4,2526.2409242415124
A,58,1,3,3247.452241235019
A,40,1,10,3790.191126638733
A,67,1,4,2804.8272721408925
A,63,0,6,3426.4325743349705
A,30,0,6,3083.397182697533
A,45,0,1,2462.684459553345
A,61,0,5,2917.8456275240273
A,61,0,5,2984.1059807514
A,30,1,8,2682.027362890675
A,24,1,5,2196.6984049137227
A,65,1,7,2794.043152673103
A,34,1,3,2252.457319778179
A,26,1,4,3270.8475372423
A,31,1,5,3274.596028948363
A,47,1,5,2362.637863615177
A,58,1,8,3040.998245153913
A,55,0,8,2327.982639361775
A,47,0,3,2819.0596434110457
A,50,0,3,2665.590106508075
A,42,0,6,3240.1064848139877
A,48,0,6,2190.3461744022093
A,40,1,4,3491.5444069090254
A,69,1,2,3613.8819134320665
A,44,1,8,2927.891558940758
A,50,1,6,2327.250901651435
A,68,0,3,1953.2864100209933
A,64,0,3,3547.6338137369858
A,66,0,6,3991.953997372771
A,37,0,2,3021.77733264998
A,45,1,11,2418.6247019999028
A,25,1,5,2452.4230076225285
A,39,1,7,3590.8080961430237
A,52,1,7,3084.4719213320764
A,48,1,4,2515.3498924596543
A,61,1,2,4149.594995329271
A,41,0,5,3522.7062202281986
A,32,1,3,3274.7350179123614
A,67,0,3,2721.014252963064
A,62,1,7,3619.4910255697355
A,48,0,9,3440.9437940965463
A,22,0,2,2946.7536008145885
A,39,0,4,3544.1757020736445
A,34,0,5,3522.8730883314515
A,45,1,3,3136.971632210396
A,20,0,7,2426.562397452978
A,36,1,8,2489.3228506883765
A,55,1,4,2207.6087628283503
A,44,0,2,3662.305676511448
A,34,0,9,2269.5999488090993
A,49,1,2,3017.050955663518
A,54,1,5,2204.5442354806355
A,38,1,2,3841.825493921602
A,54,0,9,2418.736730597449
A,68,1,3,3161.39155788611
A,28,0,4,2216.0234563788827
A,18,0,5,3435.400143068528
A,47,0,4,3542.382803816059
A,43,0,9,3008.792038336574
A,62,0,4,2967.0981904353393
A,66,0,7,3405.479629858552
A,60,1,4,2695.1976283276513
A,67,1,1,3544.4306434547148
A,53,1,4,3148.264051496758
A,43,0,5,2213.4820481683255
A,59,1,4,3923.344791177895
A,44,0,6,3092.0058349651295
A,43,1,5,2830.9009366682494
A,60,1,4,3082.6844302317036
A,35,1,9,2640.8031261211886
A,50,1,2,2923.557482662172
A,53,0,5,3394.6666821319905
A,54,1,7,3343.8476549495263
A,51,0,4,3309.8474223485587
A,43,0,6,2699.4843292465494
A,39,0,9,2569.6004502948704
A,41,0,8,3193.946281042215
A,29,1,1,3385.3898877720035
A,28,1,4,2633.698413342349
A,38,0,7,2886.1045704206813
A,33,1,8,3196.242023185734
A,53,1,5,2952.1244248922067
A,24,0,8,3578.5998550767954
A,45,0,4,2346.0247462262932
A,41,1,8,2273.505740919081
A,30,1,3,3547.934173470226
A,31,1,3,3308.554439594949
A,60,1,2,3045.2658395597314
A,48,0,6,2833.0520479711763
A,25,1,4,3235.3340445349318
A,18,1,14,3094.4285376171442
A,57,0,4,3149.7271610740554
A,68,1,7,2966.2013536078953
A,34,0,8,3267.5421793675087
A,58,0,4,3459.1739686699193
A,30,1,7,3451.9732214136598
A,64,1,4,3228.628847306344
A,44,0,3,2998.1555423915443
A,30,1,2,3222.2574125848705
A,57,1,5,3597.5223652190034
A,44,1,8,2922.7576936747437
A,49,1,3,2863.767212392542
A,29,0,2,3246.7879879424954
A,60,0,9,3369.1563007855075
A,69,1,2,2949.752470832288
A,30,1,4,3225.254723214979
A,33,0,7,2579.8397517700723
A,51,1,6,2994.5176627976357
A,23,1,5,3776.468271387326
A,65,1,4,3303.8622789057704
A,35,0,5,2676.4827831986736
A,34,1,5,2743.428728847482
A,64,0,8,2378.2498837514913
A,56,0,3,3811.746939203595
A,31,1,3,2502.708274860978
A,24,0,2,1735.4857699643949
A,23,0,3,2296.7146664748934
A,29,1,9,3026.5039107630955
A,51,0,6,2641.4923865715728
A,18,0,2,3064.677262080875
A,67,1,5,3170.7556075732095
A,46,0,5,2688.0077584755545
A,45,1,6,2540.145988802182
A,22,0,6,3455.436702878379
A,38,1,7,3149.2031054395643
A,56,1,2,1661.973935465217
A,64,0,1,2231.3958727189492
A,55,0,2,2103.604988107255
A,51,1,4,2920.258894681749
A,38,1,7,3101.408780361999
A,41,1,6,2914.2514126389638
A,66,1,6,2685.7939260437756
A,30,0,8,3510.9682054513137
A,62,0,5,3160.2444520456556
A,63,0,7,2543.9402868160137
A,40,0,7,2576.4199546635487
A,49,1,5,2618.9135226984868
A,25,0,5,2826.2867854695924
A,64,1,7,3017.5924561873794
A,28,0,10,3206.6925145098644
A,30,0,6,2588.3362867813926
A,37,0,1,2321.8176332750954
A,18,1,5,3196.74638656784
A,19,0,6,3414.4525236011928
A,28,0,5,3855.0779284791715
A,63,0,2,3202.3737854702113
A,47,0,5,2635.0332333918295
A,22,1,6,3305.330979954
A,24,1,7,2924.5831018699578
A,41,0,3,2327.3874998641522
A,48,1,5,2975.7686169438366
A,65,1,5,3141.306890266761
A,47,1,3,3716.7887254858024
A,60,0,3,3035.6733041418834
A,32,0,1,2592.3315157954708
A,53,1,4,2056.543661585188
A,27,1,5,2385.4557828990824
A,18,0,8,2514.88551563535
A,24,0,4,3833.1262470968904
A,61,1,7,2904.512079559687
A,43,1,3,2955.2003986319887
A,60,1,6,3550.5953520888925
A,60,0,4,3301.318667934712
A,66,0,7,2868.9603915954067
A,47,1,2,3573.234502427649
A,18,1,6,2657.9950696398596
A,32,1,6,3141.831322353647
A,37,0,4,2372.3707316068035
A,39,0,7,3130.1056303999076
A,42,1,8,3508.871222110634
A,67,0,4,3435.6507866080433
A,53,0,9,3451.0728397163493
A,68,0,3,4443.886271695402
A,54,0,6,2866.2169021957884
A,63,1,4,2548.126834531502
A,62,0,1,3228.0221996971204
A,44,1,6,2559.8341044717554
A,36,1,6,2433.544910062363
A,36,1,4,2873.798946172175
A,33,0,8,3990.1393319001436
A,38,0,4,3344.5168011100823
A,68,1,7,3190.2469856550997
A,50,1,7,2163.609828256572
A,59,1,4,2688.5390446772026
A,48,1,7,3716.279976338473
A,51,0,2,2865.0158336413497
A,32,0,9,4097.469536087614
A,68,0,5,3224.0241964118186
A,53,0,9,2924.7674935341984
A,43,1,10,2843.011650118202
A,47,0,4,2967.4746860249415
A,48,1,9,2274.0897071888235
A,42,0,5,3486.5308832769
A,21,0,3,3220.8490879055826
A,29,1,3,2871.903613824763
A,36,1,6,2944.2445240705883
A,26,1,3,3404.8950777595346
A,42,0,7,4014.883221278796
A,65,1,3,3765.786236934694
A,64,1,6,3092.8783757082406
A,58,0,2,2588.6949564242996
A,68,1,5,2233.344782541432
A,67,1,5,3061.3471089661416
A,24,0,4,2608.3814505220635
A,44,1,8,3077.5990647599665
A,65,1,7,3145.3241826228564
A,64,1,4,3358.463339982261
A,60,1,4,2414.234674307524
A,23,0,3,2556.4327791526302
A,52,1,4,2842.905642862058
A,49,1,3,3130.2503760620316
A,31,0,2,3100.7917145323295
A,23,0,5,4289.036260092459
A,66,0,8,1870.369422609385
A,68,1,7,3555.1171957893025
A,35,0,7,3529.3598026626605
A,48,1,4,2542.3506512692625
A,69,0,3,2763.8393922721784
A,33,1,4,3880.7872020832256
A,20,1,5,2688.9166679753475
A,48,0,2,2697.2250316977556
A,55,0,7,3059.966904534056
A,34,0,2,3256.172613039309
A,69,0,6,3498.7799916538943
A,22,1,9,3520.340754726354
A,33,0,6,3390.925463589454
A,34,1,9,2045.990914320918
A,48,1,2,2979.3277637339334
A,33,0,4,3332.434615940214
A,38,1,4,3342.3758361737614
A,58,0,5,2645.016057467611
A,56,0,4,2488.660747426541
A,54,0,6,2454.2212361329275
A,58,0,5,3232.763752169942
A,27,1,3,3503.6280481675894
A,49,0,6,3070.9370559236586
A,42,1,5,2465.0368460158907
A,50,1,5,3089.8022160241226
A,56,0,5,2524.0577129613453
A,54,0,3,2631.506949151072
A,55,1,8,2815.6921109697246
A,55,1,8,2600.7392437948406
A,45,0,4,2434.8911341942216
A,32,1,2,3774.686072885775
A,25,0,6,2056.0735183986762
A,18,1,7,2704.2102624822764
A,27,1,9,2892.109056580091
A,52,1,7,3613.9812434686096
